alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
3,5,10,40,1.1193371757933075,0.0188612788487625,0.0009238586390062,67.86174463169036,0.01233139315754892,0.0013727846028107958,2.466354080750185,,False,outside the fitted design box,,
3,5,10,55,1.1383074027306048,0.017716483103378,0.000872166807722,75.9881255118953,0.011582932433617054,0.0012959744209475,2.466354080750185,,False,outside the fitted design box,,
3,5,10,70,1.156469013411284,0.0168829407609585,0.0008373100492748,81.88615056389168,0.011037967353557623,0.0012441798938630482,2.466354080750185,,False,outside the fitted design box,,
3,10,-10,40,0.5674944773024387,0.0067539930059421,0.0022873057915972,67.77983860889724,0.0063470837510140226,0.004577371531719848,1.50743887847211,0.983313850637908,True,,67.28440822411271,65.13926560107367
3,10,-10,55,0.5718479193407,0.0064331985968047,0.0020458346664112,74.59631621246386,0.006045616310958815,0.004094137913277018,1.50743887847211,0.983313850637908,True,,74.02476205027682,72.48264364345746
3,10,-10,70,0.5784125135709514,0.0061655208212731,0.0019147082439004,79.7354197800399,0.005794065375373088,0.0038317268462206623,1.50743887847211,0.983313850637908,True,,79.11997077231163,77.9817368226251
3,10,-5,40,0.813820812659779,0.0096660457171441,0.0017898523168032,68.53438093476205,0.008048932080180557,0.0032434766794348425,1.8270772792314685,11.588457064115042,True,,66.09201206725055,66.18829049196118
3,10,-5,55,0.8226769855095635,0.0090754491678071,0.0016284235071976,75.48453712815689,0.007557141367462199,0.0029509438405915466,1.8270772792314685,11.588457064115042,True,,77.00598050898088,77.32919363145582
3,10,-5,70,0.8329593146315569,0.0086380591357529,0.0015316728419889,80.69506497238402,0.007192925972297236,0.002775617349473715,1.8270772792314685,11.588457064115042,True,,84.96418916452676,85.40596038982619
3,10,0,40,1.0418353925534165,0.0139373323406796,0.0013743151278119,68.78567593942947,0.010283592746849004,0.0022551817864646345,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,10,0,55,1.057970440084735,0.012998223267267,0.00127277861947,76.19772399476814,0.009590675693586357,0.0020885654990936003,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,10,0,70,1.073393811009294,0.0123412369889881,0.0012084178835573,81.59276056406549,0.009105921569845717,0.0019829527786508934,2.1467156799908267,,False,outside the equivalent-incidence map,,
3,10,5,40,1.215086105886137,0.0217366322548411,0.0010615352725489,67.27299192155407,0.014211282299826192,0.0015773617477488479,2.466354080750185,,False,outside the fitted design box,,
3,10,5,55,1.237881526338948,0.0202798129450225,0.0009942866812616,75.64761894415756,0.013258822404983968,0.001477435388041665,2.466354080750185,,False,outside the fitted design box,,
3,10,5,70,1.2594320914447814,0.0192328741650916,0.0009502153030637,81.7717550165316,0.01257433998941014,0.0014119486275565231,2.466354080750185,,False,outside the fitted design box,,
3,10,10,40,1.3582083233849338,0.0334158466616141,0.0008425037162911,65.29022346816564,0.019358391710482297,0.0011336274338263458,2.7859924815095436,,False,outside the fitted design box,,
3,10,10,55,1.383862433665633,0.0314861359246542,0.0007877083249742,73.57010791329357,0.018240476108574013,0.0010598977188791597,2.7859924815095436,,False,outside the fitted design box,,
